bear | watch out, that bear will chase you.
bear | the woodpecker was not afraid of the bear.
bear | the caribou and the bear smell one another.
bear | the bear found its next prey in the hare.
bear | the swan was not bothered by the bear.
bear | the bear ran from the rattlesnake.
cat | the cat sat licking its paws.
cat | lions belong to the cat family.
cat | she had only her cat for companionship.
cat | the cat loves being stroked.
cat | the cat licked up the milk.
cat | the rug was covered with cat hairs.
cow | a cow stood on the tracks.
cow | it is milked form a cow at night.
cow | the cow was eating grass when it began to rain.
cow | she gave the cow grass and water every day.
cow | suddenly the cow kicked up its hind legs.
cow | a mature cow has horns.
dog | the man was able to rescue the dog.
dog | the shelter worker took care of the dog.
dog | her dog's temperament matched her own.
dog | a dog is a great companion.
dog | the spaniel was a terrible dog.
dog | the vet didn't want a dog of her own.
horse | this horse needs firm handling.
horse | the horse laid back its ears.
horse | the horse plunged and reared.
horse | i saw a girl riding a horse.
horse | he has again fallen from his horse.
horse | the winning horse was a rank outsider.
arm | he refused to release her arm.
arm | the pain seared along her arm.
arm | his arm swept around the room.
arm | her arm was a mass of bruises.
arm | he squeezed her arm reassuringly.
arm | my left arm had gone dead.
eye | she was afraid to meet my eye.
eye | his left eye squints a little.
eye | i have something in my eye.
eye | he has very little sight in his right eye.
eye | they look like stars to the naked eye.
eye | computer screens should be at eye level.
foot | she stamped her foot in annoyance.
foot | his foot stamped down on the accelerator.
foot | he stuck his foot out and tried to trip me.
foot | he pulled his foot out of the mud.
foot | she accidentally stepped on his foot.
foot | i have something wrong with my foot.
hand | her hand was shaking noticeably.
hand | his hand fastened on her arm.
hand | he raised his hand in greeting.
hand | your hand looks badly burnt.
hand | she held up her hand stiffly.
hand | the fabric was painted by hand.
leg | she lost a leg in a car crash.
leg | a cat was rubbing against my leg.
leg | she broke her leg skiing.
leg | she has beautiful legs.
leg | these jeans are too long in the leg.
leg | our dog has a bald patch on its leg.
apartment | they rent out the apartment in their home.
apartment | this apartment floor is under renovation.
apartment | this apartment doesn't have a big kitchen.
apartment | parts of the apartment are ladder accessible.
apartment | the long hallway in the apartment is skinny.
apartment | the apartment has cute little nooks.
barn | a barn adjoins the farmhouse.
barn | he strode purposefully toward the barn.
barn | the rickety barn needs repairing.
barn | they usually keep the hay in the barn.
barn | the barn was full of bales of straw.
barn | there are mice in the barn.
church | she plays the organ in church.
church | the family had gone to church.
church | the church was erected in 1582.
church | the church bells keep me from sleeping.
church | the village church dominates the skyline.
church | their marriage took place in a local church.
house | the house was simply furnished.
house | they have a wonderful house.
house | the house is backed by fields.
house | she keeps the house spotless.
house | the house was deathly still.
house | he went to the wrong house.
igloo | spending a night in an igloo is magical.
igloo | there was a great noise at the igloo.
igloo | she lives in an igloo.
igloo | they ended up at the third eskimo's igloo.
igloo | my father built an igloo all by himself.
igloo | the popularity of the igloo is beyond doubt.
arch | he went under a brick arch.
arch | the arch once stood alone at the entrance to the castle.
arch | marble arch is a famous london landmark.
arch | they walked together through the arch.
arch | she passed under the arch leading out of the park.
arch | the arch can support greater weight than a horizontal beam.
chimney | smoke was curling up the chimney.
chimney | a shower of sparks flew up the chimney.
chimney | draw a bird above the chimney.
chimney | they climbed up to the chimney.
chimney | the chimney rolls up smoke.
